GameId,Team1Id,Team2Id,ResultOfTeam1,URL,Date,nb_rows_in_Actions,random_value,SUM(Actions.OffensiveRebounds),SUM(Actions.FreeThrowsMade),SUM(Actions.BlockedShots),SUM(Actions.Points),SUM(Actions.FieldGoalAttempts),SUM(Actions.BlocksAgainst),SUM(Actions.TotalRebounds),SUM(Actions.Turnovers),SUM(Actions.3PointAttempts),SUM(Actions.Minutes),SUM(Actions.PersonalFouls),SUM(Actions.DefensiveRebounds),SUM(Actions.Assists),SUM(Actions.FreeThrowAttempts),SUM(Actions.FieldGoalsMade),SUM(Actions.Steals),STD(Actions.OffensiveRebounds),STD(Actions.FreeThrowsMade),STD(Actions.BlockedShots),STD(Actions.Points),STD(Actions.FieldGoalAttempts),STD(Actions.BlocksAgainst),STD(Actions.PlusMinus),STD(Actions.TotalRebounds),STD(Actions.Turnovers),STD(Actions.Starter),STD(Actions.Minutes),STD(Actions.PersonalFouls),STD(Actions.DefensiveRebounds),STD(Actions.Assists),STD(Actions.FreeThrowAttempts),STD(Actions.FieldGoalsMade),STD(Actions.Steals),MAX(Actions.OffensiveRebounds),MAX(Actions.FreeThrowsMade),MAX(Actions.BlockedShots),MAX(Actions.Points),MAX(Actions.FieldGoalAttempts),MAX(Actions.BlocksAgainst),MAX(Actions.PlusMinus),MAX(Actions.TotalRebounds),MAX(Actions.Turnovers),MAX(Actions.Minutes),MAX(Actions.PersonalFouls),MAX(Actions.DefensiveRebounds),MAX(Actions.Assists),MAX(Actions.FreeThrowAttempts),MAX(Actions.FieldGoalsMade),MAX(Actions.Steals),SKEW(Actions.OffensiveRebounds),SKEW(Actions.FreeThrowsMade),SKEW(Actions.BlockedShots),SKEW(Actions.Points),SKEW(Actions.FieldGoalAttempts),SKEW(Actions.BlocksAgainst),SKEW(Actions.PlusMinus),SKEW(Actions.TotalRebounds),SKEW(Actions.Turnovers),SKEW(Actions.Starter),SKEW(Actions.Minutes),SKEW(Actions.PersonalFouls),SKEW(Actions.DefensiveRebounds),SKEW(Actions.Assists),SKEW(Actions.FreeThrowAttempts),SKEW(Actions.FieldGoalsMade),SKEW(Actions.Steals),MIN(Actions.PlusMinus),MEAN(Actions.OffensiveRebounds),MEAN(Actions.FreeThrowsMade),MEAN(Actions.BlockedShots),MEAN(Actions.Points),MEAN(Actions.FieldGoalAttempts),MEAN(Actions.BlocksAgainst),MEAN(Actions.TotalRebounds),MEAN(Actions.Turnovers),MEAN(Actions.Starter),MEAN(Actions.Minutes),MEAN(Actions.PersonalFouls),MEAN(Actions.DefensiveRebounds),MEAN(Actions.Assists),MEAN(Actions.FreeThrowAttempts),MEAN(Actions.FieldGoalsMade),MEAN(Actions.Steals),MODE(Actions.TeamId),MODE(Actions.PlayerId),DAY(Date),MONTH(Date),WEEKDAY(Date),NUM_CHARACTERS(URL),add_numerical
1,7,8,1,http://www.nba.com/games/20140331/NYKUTA/gameinfo.html,2014-03-31,25,0.021388592217152613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17
2,9,10,1,http://www.nba.com/games/20140331/MEMDEN/gameinfo.html,2014-03-31,26,0.07157396905936542,19.0,26.0,6.0,175.0,155.0,6.0,88.0,20.0,75.0,28800.0,41.0,69.0,33.0,39.0,66.0,13.0,1.6901676445449625,1.9467922333931784,0.7234178138070235,8.440971508067067,5.560275772537426,0.6633249580710799,7.199537022151724,3.57211421989835,1.4433756729740645,0.5,918.6071884470895,1.4966629547095764,2.6025628394590847,1.6763054614240207,2.6783079235467553,2.99833287011299,0.7702813338860895,8.0,8.0,3.0,34.0,19.0,3.0,18.0,13.0,5.0,2605.0,4.0,8.0,6.0,8.0,11.0,3.0,3.5617402362752144,2.4435203810379598,3.183448242693966,1.4761279814179669,0.5526301942612447,3.4217962376241253,0.6123989947853867,1.1324907740003212,1.825430938063895,0.434782608695652,-0.05488368901286306,0.19219776810666425,0.7332197978768131,1.2349129299600279,1.7877498156314524,1.0336385163257145,1.7114144948965702,-13.0,0.76,1.04,0.24,7.0,6.2,0.24,3.52,0.8,0.4,1152.0,1.64,2.76,1.32,1.56,2.64,0.52,8.0,78.0,31.0,3.0,0.0,54.0,22
3,11,12,1,http://www.nba.com/games/20140331/SACNOP/gameinfo.html,2014-03-31,25,0.7574051838185695,28.0,27.0,6.0,186.0,158.0,6.0,86.0,25.0,78.0,28799.0,42.0,58.0,37.0,47.0,74.0,14.0,1.4675987714106855,1.660861685529996,0.4296689244236597,7.401039428038782,6.039358091208547,0.5870395085642742,4.874423042781577,3.5526804615020557,0.9583639905910168,0.49613893835683387,834.4463046743124,1.5767542123469485,2.6579344206762108,1.8148956316676048,2.828699075818858,3.002563007729332,0.9046886417224096,5.0,5.0,1.0,23.0,19.0,2.0,11.0,11.0,3.0,2414.0,6.0,9.0,6.0,9.0,9.0,3.0,1.3374616966804935,1.5232082731153593,1.3576344486997578,0.8095850111100141,0.677812915933904,2.5095658200541453,0.1818397025831052,0.8446043744480025,0.3766538891611509,0.5038911092686594,-0.08665281119268173,1.1628569561461526,1.2540520666653994,1.352011588134104,1.4408583427648745,0.8326219944641917,1.8076255967480588,-8.0,1.0769230769230769,1.0384615384615385,0.23076923076923078,7.153846153846154,6.076923076923077,0.23076923076923078,3.3076923076923075,0.9615384615384616,0.38461538461538464,1107.6538461538462,1.6153846153846154,2.230769230769231,1.4230769230769231,1.8076923076923077,2.8461538461538463,0.5384615384615384,9.0,103.0,31.0,3.0,0.0,54.0,27
4,13,14,1,http://www.nba.com/games/20140331/LACMIN/gameinfo.html,2014-03-31,26,0.7418208950308935,18.0,43.0,13.0,199.0,153.0,13.0,77.0,31.0,75.0,28802.0,45.0,59.0,42.0,57.0,74.0,18.0,1.2083045973594573,3.1160872901765764,1.2948616399703352,9.816992071573315,6.540387348366048,0.8225975119502044,12.948616399703356,3.7296112397943038,1.3625955623979797,0.5,838.5830270959061,1.4719601443879744,3.0397368307141326,2.7796882319185845,3.8353617821530213,3.5995370072644985,0.9363047936792093,4.0,12.0,5.0,35.0,19.0,3.0,23.0,14.0,4.0,2636.0,5.0,11.0,10.0,14.0,13.0,3.0,1.51423781404793,2.3220338713055804,2.7684443223715762,1.2979803575025344,0.8614174887798968,1.6395415520513463,0.08924247693553479,1.7336446703285384,0.8158127435694902,0.434782608695652,0.12784019246805733,0.37490109157295987,1.8129584653279274,2.0429862505063436,2.0694149586682697,1.31128373120971,0.9502609046867891,-20.0,0.72,1.72,0.52,7.96,6.12,0.52,3.08,1.24,0.4,1152.08,1.8,2.36,1.68,2.28,2.96,0.72,12.0,129.0,31.0,3.0,0.0,54.0,32
5,15,16,-1,http://www.nba.com/games/20140331/BOSCHI/gameinfo.html,2014-03-31,24,0.921583402104268,25.0,38.0,8.0,218.0,178.0,8.0,91.0,35.0,78.0,28800.0,41.0,66.0,53.0,46.0,79.0,17.0,2.2177604781539277,2.370329415600612,0.8840466399113011,7.899756568790829,5.930883965766369,0.5491251783869153,14.483093592185337,5.1166395221864125,1.787563877287918,0.4961389383568338,836.0656323151081,1.527693082345454,3.1398187110821443,2.79257256637344,2.6878644654475017,2.763776680280362,0.9356199096773301,10.0,8.0,4.0,28.0,21.0,2.0,19.0,24.0,6.0,2602.0,5.0,14.0,9.0,8.0,9.0,3.0,3.198719807481951,1.9944681607209465,3.462513722527541,0.7891820046586443,0.648057390134446,1.6445452877294515,-0.6825273016287506,2.9716254924938235,1.4790842804511366,0.5038911092686594,0.11734633258280736,0.7173646322167955,2.2536329013472867,1.3898788481482376,1.6186545402015202,0.4617716201725366,1.4181926503629216,-32.0,0.9615384615384616,1.4615384615384615,0.3076923076923077,8.384615384615385,6.846153846153846,0.3076923076923077,3.5,1.3461538461538463,0.38461538461538464,1107.6923076923076,1.5769230769230769,2.5384615384615383,2.0384615384615383,1.7692307692307692,3.0384615384615383,0.6538461538461539,13.0,154.0,31.0,3.0,0.0,54.0,35
6,17,18,-1,http://www.nba.com/games/20140331/TORMIA/gameinfo.html,2014-03-31,26,0.35579562928544206,23.0,26.0,7.0,174.0,157.0,7.0,77.0,29.0,72.0,28800.0,31.0,54.0,45.0,31.0,69.0,19.0,1.3666578295932037,1.4116492564331997,0.9078961186825509,7.764187574733893,5.571504883482259,0.6902530516863499,11.001976107085015,3.4763695038842224,1.3506573815438319,0.5036101551853348,898.8823011408934,1.2328534123049195,2.3265948246871155,2.5760181608865627,1.4884823513044847,3.193914049645316,1.2150922908825974,4.0,5.0,4.0,22.0,19.0,3.0,26.0,11.0,4.0,2547.0,4.0,8.0,11.0,5.0,9.0,4.0,1.307610271194054,1.3577694360984016,3.537616414143108,0.5950318662348368,0.31620868453708767,3.0021502128022894,-0.40773524440205694,1.1504884716166475,0.8577502279474127,0.36102961774325276,-0.12832477290275765,0.7547017818511932,1.093127147866296,2.131739820308786,1.0041172917869332,0.5692493150206415,1.7037074102385281,-29.0,0.9583333333333334,1.0833333333333333,0.2916666666666667,7.25,6.541666666666667,0.2916666666666667,3.2083333333333335,1.2083333333333333,0.4166666666666667,1200.0,1.2916666666666667,2.25,1.875,1.2916666666666667,2.875,0.7916666666666666,15.0,180.0,31.0,3.0,0.0,54.0,40
7,19,20,-1,http://www.nba.com/games/20140331/MILDET/gameinfo.html,2014-03-31,26,0.4893605269620064,11.0,23.0,3.0,176.0,136.0,3.0,66.0,29.0,78.0,28800.0,39.0,55.0,36.0,32.0,69.0,12.0,0.7575263387144726,1.8831234282844675,0.43145549730400484,8.076175789605832,5.4207578238301135,0.4314554973040048,9.931767214348108,2.817527557711111,1.6811168448843308,0.49613893835683387,780.6364976981678,1.4764823060233399,2.422014419063984,2.192294196989502,2.303175065993765,3.1105280283875625,0.646886032050112,3.0,9.0,2.0,32.0,20.0,2.0,27.0,10.0,6.0,2357.0,4.0,8.0,8.0,11.0,11.0,2.0,2.075685000800875,3.4893797486587705,3.9650527397209125,1.4295020561611098,1.217976569976598,3.9650527397209125,0.8662513065756309,1.0371812739533304,1.71927983311163,0.5038911092686594,-0.14219758428212304,0.40388582565237396,0.9704778757049155,1.9324758983721344,3.291003142759344,1.222823052205458,1.1139338300603407,-19.0,0.4230769230769231,0.8846153846153846,0.11538461538461539,6.769230769230769,5.230769230769231,0.11538461538461539,2.5384615384615383,1.1153846153846154,0.38461538461538464,1107.6923076923076,1.5,2.1153846153846154,1.3846153846153846,1.2307692307692308,2.6538461538461537,0.46153846153846156,17.0,204.0,31.0,3.0,0.0,54.0,45
8,21,22,-1,http://www.nba.com/games/20140331/PHIATL/gameinfo.html,2014-03-31,24,0.3722005040477616,37.0,43.0,10.0,227.0,185.0,10.0,100.0,24.0,78.0,28799.0,46.0,63.0,56.0,57.0,85.0,10.0,2.24807610054601,2.924958908324118,0.7524319545007683,9.408752063085485,7.179565017893066,0.7524319545007682,8.708616422830895,4.7471448909196585,1.0926326710501357,0.49613893835683387,913.3987493885764,1.6323649667324351,2.75931987160716,3.684478879758251,3.6002136688727884,3.5839385296926323,0.6373020054525531,8.0,11.0,3.0,28.0,21.0,3.0,23.0,16.0,3.0,2620.0,5.0,10.0,13.0,14.0,12.0,2.0,1.757024104095002,2.1683670307901752,2.2571736288688653,0.6820188410198,0.684390324465169,2.2571736288688653,0.9333776888751634,1.314078543748153,0.7607182075303053,0.5038911092686594,0.015505877004439467,0.2833135610386619,1.2157771773374584,1.9001384385903322,2.1487020109477033,0.9085029382888674,1.4740169203247189,-15.0,1.4230769230769231,1.6538461538461537,0.38461538461538464,8.73076923076923,7.115384615384615,0.38461538461538464,3.8461538461538463,0.9230769230769231,0.38461538461538464,1107.6538461538462,1.7692307692307692,2.423076923076923,2.1538461538461537,2.1923076923076925,3.269230769230769,0.38461538461538464,19.0,230.0,31.0,3.0,0.0,54.0,50
9,23,24,-1,http://www.nba.com/games/20140331/WASCHA/gameinfo.html,2014-03-31,26,0.16842575218017175,19.0,36.0,6.0,198.0,161.0,6.0,89.0,36.0,72.0,28800.0,44.0,70.0,50.0,50.0,72.0,21.0,1.1787674722451364,2.3405684928164816,0.8469895538599198,7.995922874108755,4.831771361804449,0.6079187588743288,10.05203851270326,3.7239432894699678,1.414213562373095,0.5036101551853348,678.7556389388632,1.4645571126562063,2.842483094923791,2.30154327555998,3.174855925066134,2.7026556987687047,1.1539158284426274,5.0,9.0,3.0,28.0,16.0,2.0,23.0,17.0,5.0,2156.0,5.0,12.0,9.0,13.0,9.0,4.0,2.1774189379602347,1.8643489293429985,3.2199602874013484,1.116214443449088,0.2781173818256453,2.3750710868886955,0.7170011126177035,2.1957036758538506,0.9055438620728908,0.36102961774325276,-0.3778387644017799,0.4949043765873747,1.8390241390822815,1.2664596062783096,2.069105901151705,0.937029283316144,1.3746850791760565,-16.0,0.7916666666666666,1.5,0.25,8.25,6.708333333333333,0.25,3.7083333333333335,1.5,0.4166666666666667,1200.0,1.8333333333333333,2.9166666666666665,2.0833333333333335,2.0833333333333335,3.0,0.875,21.0,256.0,31.0,3.0,0.0,54.0,55
10,1,2,1,http://www.nba.com/games/20140401/PORLAL/gameinfo.html?ls=slt,2014-04-01,26,0.7473466209500194,24.0,38.0,8.0,194.0,157.0,8.0,85.0,24.0,78.0,28801.0,36.0,61.0,43.0,47.0,72.0,12.0,1.2624761993186857,2.249102385055322,0.5491251783869153,7.066715045794724,6.049666233641451,0.5491251783869153,10.73312629199899,3.37707201353708,1.2937720641002237,0.49613893835683387,811.2285772921123,1.2985198674467195,2.4810047592426367,2.7559725353102884,2.5925929995929677,2.5970397348934386,0.6468860320501119,4.0,9.0,2.0,21.0,22.0,2.0,18.0,11.0,5.0,2403.0,5.0,9.0,10.0,10.0,8.0,2.0,1.1889057803824492,2.1571190092337567,1.6445452877294522,0.5676425059370912,1.1843650483675185,1.6445452877294522,-0.7014886866913402,1.0173468518805726,1.954357121489794,0.5038911092686594,-0.18638255585999583,0.8684789925431355,1.2204704527346013,2.1555556674940815,1.8255433160705845,0.6012952248129354,1.1139338300603405,-24.0,0.9230769230769231,1.4615384615384615,0.3076923076923077,7.461538461538462,6.038461538461538,0.3076923076923077,3.269230769230769,0.9230769230769231,0.38461538461538464,1107.7307692307693,1.3846153846153846,2.3461538461538463,1.6538461538461537,1.8076923076923077,2.769230769230769,0.46153846153846156,23.0,280.0,31.0,3.0,0.0,54.0,14
