PlayerId,PlayerName,nb_rows_in_Actions,random_value,SUM(Actions.OffensiveRebounds),SUM(Actions.FreeThrowsMade),SUM(Actions.BlockedShots),SUM(Actions.Points),SUM(Actions.FieldGoalAttempts),SUM(Actions.BlocksAgainst),SUM(Actions.PlusMinus),SUM(Actions.TotalRebounds),SUM(Actions.Turnovers),SUM(Actions.3PointAttempts),SUM(Actions.Starter),SUM(Actions.Minutes),SUM(Actions.PersonalFouls),SUM(Actions.DefensiveRebounds),SUM(Actions.Assists),SUM(Actions.FreeThrowAttempts),SUM(Actions.FieldGoalsMade),SUM(Actions.Steals),STD(Actions.OffensiveRebounds),STD(Actions.FreeThrowsMade),STD(Actions.BlockedShots),STD(Actions.Points),STD(Actions.FieldGoalAttempts),STD(Actions.BlocksAgainst),STD(Actions.PlusMinus),STD(Actions.TotalRebounds),STD(Actions.Turnovers),STD(Actions.3PointAttempts),STD(Actions.Starter),STD(Actions.Minutes),STD(Actions.PersonalFouls),STD(Actions.DefensiveRebounds),STD(Actions.Assists),STD(Actions.FreeThrowAttempts),STD(Actions.FieldGoalsMade),STD(Actions.Steals),MAX(Actions.OffensiveRebounds),MAX(Actions.FreeThrowsMade),MAX(Actions.BlockedShots),MAX(Actions.Points),MAX(Actions.FieldGoalAttempts),MAX(Actions.BlocksAgainst),MAX(Actions.PlusMinus),MAX(Actions.TotalRebounds),MAX(Actions.Turnovers),MAX(Actions.Starter),MAX(Actions.Minutes),MAX(Actions.PersonalFouls),MAX(Actions.DefensiveRebounds),MAX(Actions.Assists),MAX(Actions.FreeThrowAttempts),MAX(Actions.FieldGoalsMade),MAX(Actions.Steals),SKEW(Actions.OffensiveRebounds),SKEW(Actions.FreeThrowsMade),SKEW(Actions.BlockedShots),SKEW(Actions.Points),SKEW(Actions.FieldGoalAttempts),SKEW(Actions.BlocksAgainst),SKEW(Actions.PlusMinus),SKEW(Actions.TotalRebounds),SKEW(Actions.Turnovers),SKEW(Actions.Starter),SKEW(Actions.Minutes),SKEW(Actions.PersonalFouls),SKEW(Actions.DefensiveRebounds),SKEW(Actions.Assists),SKEW(Actions.FreeThrowAttempts),SKEW(Actions.FieldGoalsMade),SKEW(Actions.Steals),MIN(Actions.OffensiveRebounds),MIN(Actions.FreeThrowsMade),MIN(Actions.BlockedShots),MIN(Actions.Points),MIN(Actions.FieldGoalAttempts),MIN(Actions.BlocksAgainst),MIN(Actions.PlusMinus),MIN(Actions.TotalRebounds),MIN(Actions.Turnovers),MIN(Actions.Starter),MIN(Actions.Minutes),MIN(Actions.PersonalFouls),MIN(Actions.DefensiveRebounds),MIN(Actions.Assists),MIN(Actions.FreeThrowAttempts),MIN(Actions.FieldGoalsMade),MIN(Actions.Steals),MEAN(Actions.OffensiveRebounds),MEAN(Actions.FreeThrowsMade),MEAN(Actions.BlockedShots),MEAN(Actions.Points),MEAN(Actions.FieldGoalAttempts),MEAN(Actions.BlocksAgainst),MEAN(Actions.PlusMinus),MEAN(Actions.TotalRebounds),MEAN(Actions.Turnovers),MEAN(Actions.Starter),MEAN(Actions.Minutes),MEAN(Actions.PersonalFouls),MEAN(Actions.DefensiveRebounds),MEAN(Actions.Assists),MEAN(Actions.FreeThrowAttempts),MEAN(Actions.FieldGoalsMade),MEAN(Actions.Steals),MODE(Actions.TeamId),MODE(Actions.GameId),add_numerical
1,Nicolas Batum,1,0.832624203303128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
2,LaMarcus Aldridge,1,0.754773500394446,2.0,0.0,0.0,16.0,13.0,0.0,18.0,5.0,1.0,3.0,1.0,2134.0,2.0,3.0,7.0,0.0,6.0,2.0,,,,,,,,,,,,,,,,,,,2.0,0.0,0.0,16.0,13.0,0.0,18.0,5.0,1.0,1.0,2134.0,2.0,3.0,7.0,0.0,6.0,2.0,,,,,,,,,,,,,,,,,,2.0,0.0,0.0,16.0,13.0,0.0,18.0,5.0,1.0,1.0,2134.0,2.0,3.0,7.0,0.0,6.0,2.0,2.0,0.0,0.0,16.0,13.0,0.0,18.0,5.0,1.0,1.0,2134.0,2.0,3.0,7.0,0.0,6.0,2.0,1.0,10.0,2
3,Robin Lopez,1,0.9636620200305366,1.0,7.0,2.0,31.0,20.0,1.0,27.0,15.0,2.0,3.0,1.0,1952.0,2.0,14.0,6.0,8.0,12.0,1.0,,,,,,,,,,,,,,,,,,,1.0,7.0,2.0,31.0,20.0,1.0,27.0,15.0,2.0,1.0,1952.0,2.0,14.0,6.0,8.0,12.0,1.0,,,,,,,,,,,,,,,,,,1.0,7.0,2.0,31.0,20.0,1.0,27.0,15.0,2.0,1.0,1952.0,2.0,14.0,6.0,8.0,12.0,1.0,1.0,7.0,2.0,31.0,20.0,1.0,27.0,15.0,2.0,1.0,1952.0,2.0,14.0,6.0,8.0,12.0,1.0,1.0,10.0,3
4,Wesley Matthews,1,0.3208472316248532,3.0,2.0,2.0,10.0,5.0,0.0,21.0,10.0,0.0,3.0,1.0,2043.0,2.0,7.0,1.0,2.0,4.0,0.0,,,,,,,,,,,,,,,,,,,3.0,2.0,2.0,10.0,5.0,0.0,21.0,10.0,0.0,1.0,2043.0,2.0,7.0,1.0,2.0,4.0,0.0,,,,,,,,,,,,,,,,,,3.0,2.0,2.0,10.0,5.0,0.0,21.0,10.0,0.0,1.0,2043.0,2.0,7.0,1.0,2.0,4.0,0.0,3.0,2.0,2.0,10.0,5.0,0.0,21.0,10.0,0.0,1.0,2043.0,2.0,7.0,1.0,2.0,4.0,0.0,1.0,10.0,4
5,Damian Lillard,1,0.7762975118648524,0.0,0.0,1.0,10.0,12.0,0.0,17.0,4.0,1.0,3.0,1.0,1952.0,1.0,4.0,6.0,0.0,4.0,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,1.0,10.0,12.0,0.0,17.0,4.0,1.0,1.0,1952.0,1.0,4.0,6.0,0.0,4.0,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,1.0,10.0,12.0,0.0,17.0,4.0,1.0,1.0,1952.0,1.0,4.0,6.0,0.0,4.0,0.0,0.0,0.0,1.0,10.0,12.0,0.0,17.0,4.0,1.0,1.0,1952.0,1.0,4.0,6.0,0.0,4.0,0.0,1.0,10.0,5
6,Thomas Robinson,1,0.27050098308933934,0.0,9.0,0.0,34.0,22.0,3.0,24.0,2.0,2.0,3.0,1.0,2130.0,3.0,2.0,8.0,9.0,10.0,3.0,,,,,,,,,,,,,,,,,,,0.0,9.0,0.0,34.0,22.0,3.0,24.0,2.0,2.0,1.0,2130.0,3.0,2.0,8.0,9.0,10.0,3.0,,,,,,,,,,,,,,,,,,0.0,9.0,0.0,34.0,22.0,3.0,24.0,2.0,2.0,1.0,2130.0,3.0,2.0,8.0,9.0,10.0,3.0,0.0,9.0,0.0,34.0,22.0,3.0,24.0,2.0,2.0,1.0,2130.0,3.0,2.0,8.0,9.0,10.0,3.0,1.0,10.0,6
7,Maurice Williams,1,0.8403718742803286,3.0,1.0,0.0,7.0,7.0,3.0,-13.0,6.0,1.0,3.0,0.0,1077.0,2.0,3.0,0.0,2.0,3.0,3.0,,,,,,,,,,,,,,,,,,,3.0,1.0,0.0,7.0,7.0,3.0,-13.0,6.0,1.0,0.0,1077.0,2.0,3.0,0.0,2.0,3.0,3.0,,,,,,,,,,,,,,,,,,3.0,1.0,0.0,7.0,7.0,3.0,-13.0,6.0,1.0,0.0,1077.0,2.0,3.0,0.0,2.0,3.0,3.0,3.0,1.0,0.0,7.0,7.0,3.0,-13.0,6.0,1.0,0.0,1077.0,2.0,3.0,0.0,2.0,3.0,3.0,1.0,10.0,7
8,Will Barton,1,0.5101955292137704,0.0,0.0,0.0,8.0,11.0,1.0,2.0,1.0,0.0,3.0,0.0,1490.0,4.0,1.0,3.0,0.0,3.0,1.0,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,8.0,11.0,1.0,2.0,1.0,0.0,0.0,1490.0,4.0,1.0,3.0,0.0,3.0,1.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,8.0,11.0,1.0,2.0,1.0,0.0,0.0,1490.0,4.0,1.0,3.0,0.0,3.0,1.0,0.0,0.0,0.0,8.0,11.0,1.0,2.0,1.0,0.0,0.0,1490.0,4.0,1.0,3.0,0.0,3.0,1.0,1.0,10.0,8
9,Dorell Wright,1,0.1291213882439548,2.0,0.0,0.0,8.0,7.0,1.0,-13.0,5.0,2.0,3.0,0.0,676.0,1.0,3.0,1.0,0.0,4.0,0.0,,,,,,,,,,,,,,,,,,,2.0,0.0,0.0,8.0,7.0,1.0,-13.0,5.0,2.0,0.0,676.0,1.0,3.0,1.0,0.0,4.0,0.0,,,,,,,,,,,,,,,,,,2.0,0.0,0.0,8.0,7.0,1.0,-13.0,5.0,2.0,0.0,676.0,1.0,3.0,1.0,0.0,4.0,0.0,2.0,0.0,0.0,8.0,7.0,1.0,-13.0,5.0,2.0,0.0,676.0,1.0,3.0,1.0,0.0,4.0,0.0,1.0,10.0,9
10,Earl Watson,1,0.6155202606993493,0.0,0.0,0.0,0.0,0.0,0.0,-5.0,1.0,0.0,3.0,0.0,559.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,-5.0,1.0,0.0,0.0,559.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,-5.0,1.0,0.0,0.0,559.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.0,1.0,0.0,0.0,559.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,10.0,10
