opening_id,name,code,w1,b1,w2,b2,w3,b3,w4,b4,variation
9,Scandinavian Defense,-,e4,d5,exd5,Qxd5,Nc3,Qa5,d4,e5,Anderssen Counterattack
10,Scandinavian Defense,-,e4,d5,exd5,Qxd5,Nc3,Qd6,d4,Nf6,Bronstein Variation
11,Scandinavian Defense,-,e4,d5,exd5,Qxd5,Nc3,Qa5,d4,Nf6,Classical Variation
12,Scandinavian Defense,-,e4,d5,exd5,Qxd5,Nc3,Qd6,-,-,Gubinsky-Melts Defense
13,Scandinavian Defense,-,e4,d5,exd5,Nf6,c4,e6,-,-,Icelandic-Palme Gambit
14,Scandinavian Defense,-,e4,d5,exd5,Nf6,d4,Nxd5,c4,Nb4,Kiel Variation
15,Scandinavian Defense,-,e4,d5,exd5,Qxd5,Nc3,Qa5,d4,Nf6,Lasker Variation
16,Scandinavian Defense,-,e4,d5,exd5,Qxd5,Nc3,Qa5,-,-,Main Lines
17,Scandinavian Defense,-,e4,d5,exd5,Nf6,d4,Nxd5,-,-,Marshall Variation
18,Scandinavian Defense,-,e4,d5,exd5,Nf6,d4,-,-,-,Modern Variation
19,Scandinavian Defense,-,e4,d5,exd5,Qxd5,-,-,-,-,Mieses-Kotroc Variation
20,Scandinavian Defense,-,e4,d5,exd5,Nf6,-,-,-,-,Modern Variation 
21,Scandinavian Defense,-,e4,d5,exd5,Qxd5,Nc3,Qa5,d4,Nf6,Mieses Variation
22,Scandinavian Defense,-,e4,d5,exd5,Nf6,c4,c6,-,-,Panov Transfer
23,Scandinavian Defense,-,e4,d5,exd5,Nf6,d4,Bg4,-,-,Portuguese Variation
24,Scandinavian Defense,-,e4,d5,exd5,Nf6,d4,Bg4,f3,Bf5,Portuguese Gambit
25,Scandinavian Defense,-,e4,d5,exd5,Nf6,d4,Nxd5,Nf3,g6,Richter Variation
26,Scandinavian Defense,-,e4,d5,exd5,Qxd5,Nc3,Qd6,d4,c6,Schiller-Pytel Variation
27,Scotch Game,-,e4,e5,Nf3,Nc6,d4,exd4,Nxd4,Bc5,Intermezzo Variation
28,Scotch Game,-,e4,e5,Nf3,Nc6,d4,exd4,Nxd4,Bc5,Classical Variation
29,Scotch Game,-,e4,e5,Nf3,Nc6,d4,exd4,Nxd4,Bc5,variationburne Attack
30,Scotch Game,-,e4,e5,Nf3,Nc6,d4,exd4,Nxd4,Bc5,Millennium Variation
31,Scotch Game,-,e4,e5,Nf3,Nc6,d4,exd4,c3,-,G?ring Gambit
32,Scotch Game,-,e4,e5,Nf3,Nc6,d4,exd4,c3,dxc3,"G?ring Gambit, Double Pawn Sacrifice"
33,Scotch Game,-,e4,e5,Nf3,Nc6,d4,exd4,c3,dxc3,"G?ring Gambit, Main Line"
34,Scotch Game,-,e4,e5,Nf3,Nc6,d4,exd4,Nxd4,Qh4,Horwitz Attack
35,Scotch Game,-,e4,e5,Nf3,Nc6,d4,exd4,Bc4,Bc5,Haxo Gambit
36,Scotch Game,-,e4,e5,Nf3,Nc6,d4,exd4,Nxd4,Bb4+, Malaniuk Variation
37,Scotch Game,-,e4,e5,Nf3,Nc6,d4,exd4,Nxd4,Bc5,Meitner Variation
38,Scotch Game,-,e4,e5,Nf3,Nc6,d4,exd4,Nxd4,Nf6,Mieses Variation
39,Scotch Game,-,e4,e5,Nf3,Nc6,d4,exd4,Nxd4,Qh4,Modern Defense
40,Scotch Game,-,e4,e5,Nf3,Nc6,d4,exd4,Nxd4,Bc5,Potter Variation
41,Scotch Game,-,e4,e5,Nf3,Nc6,d4,exd4,Nxd4,Bc5,Romanishin Variation
42,Scotch Game,-,e4,e5,Nf3,Nc6,d4,exd4,Nxd4,Nf6,Schmidt Variation 
43,Scotch Game,-,e4,e5,Nf3,Nc6,d4,exd4,Bc4,-,Scotch Gambit
44,Scotch Game,-,e4,e5,Nf3,Nc6,d4,exd4,Bc4,Nf6,"Scotch Gambit, Advance Variation"
45,Scotch Game,-,e4,e5,Nf3,Nc6,d4,exd4,c3,d5,"Scotch Gambit, G?ring Gambit, Declined"
