GameId,TeamId,PlayerId,Minutes,FieldGoalsMade,FieldGoalAttempts,3PointsMade,3PointAttempts,FreeThrowsMade,FreeThrowAttempts,PlusMinus,OffensiveRebounds,DefensiveRebounds,TotalRebounds,Assists,PersonalFouls,Steals,Turnovers,BlockedShots,BlocksAgainst,Points,Starter
1,7,78,2605,5,14,3,3,0,0,12,0,3,3,4,2,1,1,0,0,13,1
1,7,79,2359,11,19,3,3,8,8,13,0,8,8,3,2,3,3,1,0,34,1
1,7,80,2104,6,7,3,3,3,8,18,2,7,9,1,3,1,1,2,0,15,1
1,7,81,1392,1,5,3,3,0,0,3,0,2,2,0,4,1,0,0,0,2,1
1,7,82,2124,5,8,3,3,1,2,5,0,3,3,6,1,1,4,0,0,12,1
1,7,83,1880,3,9,3,3,3,4,5,0,2,2,2,3,0,0,0,0,10,0
1,7,84,1009,0,3,3,3,0,0,5,1,3,4,2,0,1,0,0,0,0,0
1,7,85,773,2,4,3,3,2,2,-12,0,6,6,0,3,0,0,3,0,6,0
1,7,86,77,0,1,3,3,0,0,-2,0,0,0,0,0,0,0,0,0,0,0
1,7,87,77,0,0,3,3,0,0,-2,0,1,1,0,0,0,0,0,0,0,0
1,7,88,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,7,89,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,8,90,1680,5,9,3,3,0,0,-5,0,2,2,3,2,0,0,0,0,11,1
1,8,91,1874,2,5,3,3,0,0,-13,2,8,10,2,4,2,0,0,0,5,1
1,8,92,1294,6,14,3,3,1,3,-4,8,5,13,0,4,0,0,0,3,13,1
1,8,93,2362,5,14,3,3,5,8,-7,0,2,2,1,1,1,2,0,0,18,1
1,8,94,1876,2,8,3,3,0,0,-8,1,3,4,3,3,0,3,0,1,5,1
1,8,95,1506,5,11,3,3,2,2,-4,2,4,6,0,3,0,0,0,1,12,0
1,8,96,2052,7,12,3,3,1,2,-4,1,6,7,4,3,1,5,0,0,17,0
1,8,97,1084,0,8,3,3,0,0,-2,0,3,3,1,1,0,0,0,0,0,0
1,8,98,518,0,3,3,3,0,0,-2,0,1,1,1,2,1,1,0,1,0,0
1,8,99,77,1,1,3,3,0,0,2,2,0,2,0,0,0,0,0,0,2,0
1,8,100,77,0,0,3,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0
1,8,101,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,8,102,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,9,103,1742,0,4,3,3,1,2,-6,2,2,4,1,3,0,1,1,0,1,1
2,9,104,2049,8,15,3,3,4,8,1,2,9,11,3,4,1,2,0,2,20,1
2,9,105,1991,6,19,3,3,1,3,-6,4,4,8,2,2,0,2,1,1,13,1
2,9,106,2048,6,12,3,3,4,6,2,2,5,7,3,2,0,0,0,0,19,1
2,9,107,1823,9,15,3,3,0,0,-7,2,0,2,2,1,1,2,0,0,19,1
2,9,108,1057,4,7,3,3,0,0,7,1,1,2,3,2,1,3,0,0,9,0
2,9,109,580,1,1,3,3,1,1,3,0,1,1,1,2,0,0,0,0,3,0
2,9,110,1029,1,2,3,3,0,0,6,0,2,2,0,0,0,1,0,0,2,0
2,9,111,1140,2,7,3,3,2,3,2,4,2,6,0,2,1,0,1,0,6,0
2,9,112,941,1,3,3,3,0,0,-2,0,0,0,2,1,3,0,0,0,2,0
2,9,113,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,9,114,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,9,115,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,10,116,1059,1,2,3,3,0,0,-8,0,3,3,0,1,0,1,0,0,3,1
2,10,117,1908,6,14,3,3,5,9,8,5,3,8,2,2,3,2,1,2,17,1
2,10,118,1895,9,15,3,3,5,7,0,2,8,10,1,5,0,2,1,1,23,1
2,10,119,2414,6,13,3,3,0,0,11,2,7,9,4,2,2,2,0,0,13,1
2,10,120,2371,3,9,3,3,2,4,-1,0,5,5,6,2,0,2,0,0,8,1
