TeamId,TeamName
1,Portland Trail Blazers
2,Los Angeles Lakers
3,Golden State Warriors
4,Dallas Mavericks
5,Houston Rockets
6,Brooklyn Nets
7,New York Knicks
8,Utah Jazz
9,Memphis Grizzlies
10,Denver Nuggets
11,Sacramento Kings
12,New Orleans Pelicans
13,Los Angeles Clippers
14,Minnesota Timberwolves
15,Boston Celtics
16,Chicago Bulls
17,Toronto Raptors
18,Miami Heat
19,Milwaukee Bucks
20,Detroit Pistons
21,Philadelphia 76ers
22,Atlanta Hawks
23,Washington Wizards
24,Charlotte Bobcats
25,Indiana Pacers
26,Cleveland Cavaliers
27,Orlando Magic
28,San Antonio Spurs
29,Phoenix Suns
30,Oklahoma City Thunder
