GameId,Team1Id,Team2Id,ResultOfTeam1,URL,Date,nb_rows_in_Actions,random_value,SUM(Actions.TotalRebounds),SUM(Actions.OffensiveRebounds),SUM(Actions.Assists),SUM(Actions.PersonalFouls),SUM(Actions.Turnovers),SUM(Actions.3PointsMade),SUM(Actions.FieldGoalsMade),SUM(Actions.FreeThrowsMade),SUM(Actions.FreeThrowAttempts),SUM(Actions.BlocksAgainst),SUM(Actions.Steals),SUM(Actions.Minutes),SUM(Actions.DefensiveRebounds),SUM(Actions.Points),SUM(Actions.BlockedShots),SUM(Actions.FieldGoalAttempts),STD(Actions.TotalRebounds),STD(Actions.OffensiveRebounds),STD(Actions.Assists),STD(Actions.PersonalFouls),STD(Actions.Turnovers),STD(Actions.FieldGoalsMade),STD(Actions.FreeThrowsMade),STD(Actions.FreeThrowAttempts),STD(Actions.BlocksAgainst),STD(Actions.PlusMinus),STD(Actions.Steals),STD(Actions.Starter),STD(Actions.Minutes),STD(Actions.DefensiveRebounds),STD(Actions.Points),STD(Actions.BlockedShots),STD(Actions.FieldGoalAttempts),MAX(Actions.TotalRebounds),MAX(Actions.OffensiveRebounds),MAX(Actions.Assists),MAX(Actions.PersonalFouls),MAX(Actions.Turnovers),MAX(Actions.FieldGoalsMade),MAX(Actions.FreeThrowsMade),MAX(Actions.FreeThrowAttempts),MAX(Actions.BlocksAgainst),MAX(Actions.PlusMinus),MAX(Actions.Steals),MAX(Actions.Minutes),MAX(Actions.DefensiveRebounds),MAX(Actions.Points),MAX(Actions.BlockedShots),MAX(Actions.FieldGoalAttempts),SKEW(Actions.TotalRebounds),SKEW(Actions.OffensiveRebounds),SKEW(Actions.Assists),SKEW(Actions.PersonalFouls),SKEW(Actions.Turnovers),SKEW(Actions.FieldGoalsMade),SKEW(Actions.FreeThrowsMade),SKEW(Actions.FreeThrowAttempts),SKEW(Actions.BlocksAgainst),SKEW(Actions.PlusMinus),SKEW(Actions.Steals),SKEW(Actions.Starter),SKEW(Actions.Minutes),SKEW(Actions.DefensiveRebounds),SKEW(Actions.Points),SKEW(Actions.BlockedShots),SKEW(Actions.FieldGoalAttempts),MIN(Actions.PlusMinus),MEAN(Actions.TotalRebounds),MEAN(Actions.OffensiveRebounds),MEAN(Actions.Assists),MEAN(Actions.PersonalFouls),MEAN(Actions.Turnovers),MEAN(Actions.FieldGoalsMade),MEAN(Actions.FreeThrowsMade),MEAN(Actions.FreeThrowAttempts),MEAN(Actions.BlocksAgainst),MEAN(Actions.Steals),MEAN(Actions.Starter),MEAN(Actions.Minutes),MEAN(Actions.DefensiveRebounds),MEAN(Actions.Points),MEAN(Actions.BlockedShots),MEAN(Actions.FieldGoalAttempts),MODE(Actions.TeamId),MODE(Actions.PlayerId),DAY(Date),MONTH(Date),WEEKDAY(Date),NUM_CHARACTERS(URL),add_numerical
1,7,8,1,http://www.nba.com/games/20140331/NYKUTA/gameinfo.html,2014-03-31,25,0.4643400907428382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16
2,9,10,1,http://www.nba.com/games/20140331/MEMDEN/gameinfo.html,2014-03-31,26,0.8355779587750661,88.0,19.0,33.0,41.0,20.0,75.0,66.0,26.0,39.0,6.0,13.0,28800.0,69.0,175.0,6.0,155.0,3.57211421989835,1.6901676445449625,1.6763054614240207,1.4966629547095764,1.4433756729740645,2.99833287011299,1.9467922333931784,2.6783079235467553,0.6633249580710799,7.199537022151724,0.7702813338860895,0.5,918.6071884470895,2.6025628394590847,8.440971508067067,0.7234178138070235,5.560275772537426,13.0,8.0,6.0,4.0,5.0,11.0,8.0,8.0,3.0,18.0,3.0,2605.0,8.0,34.0,3.0,19.0,1.1324907740003212,3.5617402362752144,1.2349129299600279,0.19219776810666425,1.825430938063895,1.0336385163257145,2.4435203810379598,1.7877498156314524,3.4217962376241253,0.6123989947853867,1.7114144948965702,0.434782608695652,-0.05488368901286306,0.7332197978768131,1.4761279814179669,3.183448242693966,0.5526301942612447,-13.0,3.52,0.76,1.32,1.64,0.8,2.64,1.04,1.56,0.24,0.52,0.4,1152.0,2.76,7.0,0.24,6.2,8.0,78.0,31.0,3.0,0.0,54.0,21
3,11,12,1,http://www.nba.com/games/20140331/SACNOP/gameinfo.html,2014-03-31,25,0.9497267061920449,86.0,28.0,37.0,42.0,25.0,78.0,74.0,27.0,47.0,6.0,14.0,28799.0,58.0,186.0,6.0,158.0,3.5526804615020557,1.4675987714106855,1.8148956316676048,1.5767542123469485,0.9583639905910168,3.002563007729332,1.660861685529996,2.828699075818858,0.5870395085642742,4.874423042781577,0.9046886417224096,0.49613893835683387,834.4463046743124,2.6579344206762108,7.401039428038782,0.4296689244236597,6.039358091208547,11.0,5.0,6.0,6.0,3.0,9.0,5.0,9.0,2.0,11.0,3.0,2414.0,9.0,23.0,1.0,19.0,0.8446043744480025,1.3374616966804935,1.352011588134104,1.1628569561461526,0.3766538891611509,0.8326219944641917,1.5232082731153593,1.4408583427648745,2.5095658200541453,0.1818397025831052,1.8076255967480588,0.5038911092686594,-0.08665281119268173,1.2540520666653994,0.8095850111100141,1.3576344486997578,0.677812915933904,-8.0,3.3076923076923075,1.0769230769230769,1.4230769230769231,1.6153846153846154,0.9615384615384616,2.8461538461538463,1.0384615384615385,1.8076923076923077,0.23076923076923078,0.5384615384615384,0.38461538461538464,1107.6538461538462,2.230769230769231,7.153846153846154,0.23076923076923078,6.076923076923077,9.0,103.0,31.0,3.0,0.0,54.0,26
4,13,14,1,http://www.nba.com/games/20140331/LACMIN/gameinfo.html,2014-03-31,26,0.8886013284275016,77.0,18.0,42.0,45.0,31.0,75.0,74.0,43.0,57.0,13.0,18.0,28802.0,59.0,199.0,13.0,153.0,3.7296112397943038,1.2083045973594573,2.7796882319185845,1.4719601443879744,1.3625955623979797,3.5995370072644985,3.1160872901765764,3.8353617821530213,0.8225975119502044,12.948616399703356,0.9363047936792093,0.5,838.5830270959061,3.0397368307141326,9.816992071573315,1.2948616399703352,6.540387348366048,14.0,4.0,10.0,5.0,4.0,13.0,12.0,14.0,3.0,23.0,3.0,2636.0,11.0,35.0,5.0,19.0,1.7336446703285384,1.51423781404793,2.0429862505063436,0.37490109157295987,0.8158127435694902,1.31128373120971,2.3220338713055804,2.0694149586682697,1.6395415520513463,0.08924247693553479,0.9502609046867891,0.434782608695652,0.12784019246805733,1.8129584653279274,1.2979803575025344,2.7684443223715762,0.8614174887798968,-20.0,3.08,0.72,1.68,1.8,1.24,2.96,1.72,2.28,0.52,0.72,0.4,1152.08,2.36,7.96,0.52,6.12,12.0,129.0,31.0,3.0,0.0,54.0,31
5,15,16,-1,http://www.nba.com/games/20140331/BOSCHI/gameinfo.html,2014-03-31,24,0.3590073717603346,91.0,25.0,53.0,41.0,35.0,78.0,79.0,38.0,46.0,8.0,17.0,28800.0,66.0,218.0,8.0,178.0,5.1166395221864125,2.2177604781539277,2.79257256637344,1.527693082345454,1.787563877287918,2.763776680280362,2.370329415600612,2.6878644654475017,0.5491251783869153,14.483093592185337,0.9356199096773301,0.4961389383568338,836.0656323151081,3.1398187110821443,7.899756568790829,0.8840466399113011,5.930883965766369,24.0,10.0,9.0,5.0,6.0,9.0,8.0,8.0,2.0,19.0,3.0,2602.0,14.0,28.0,4.0,21.0,2.9716254924938235,3.198719807481951,1.3898788481482376,0.7173646322167955,1.4790842804511366,0.4617716201725366,1.9944681607209465,1.6186545402015202,1.6445452877294515,-0.6825273016287506,1.4181926503629216,0.5038911092686594,0.11734633258280736,2.2536329013472867,0.7891820046586443,3.462513722527541,0.648057390134446,-32.0,3.5,0.9615384615384616,2.0384615384615383,1.5769230769230769,1.3461538461538463,3.0384615384615383,1.4615384615384615,1.7692307692307692,0.3076923076923077,0.6538461538461539,0.38461538461538464,1107.6923076923076,2.5384615384615383,8.384615384615385,0.3076923076923077,6.846153846153846,13.0,154.0,31.0,3.0,0.0,54.0,36
6,17,18,-1,http://www.nba.com/games/20140331/TORMIA/gameinfo.html,2014-03-31,26,0.38834969362846194,77.0,23.0,45.0,31.0,29.0,72.0,69.0,26.0,31.0,7.0,19.0,28800.0,54.0,174.0,7.0,157.0,3.4763695038842224,1.3666578295932037,2.5760181608865627,1.2328534123049195,1.3506573815438319,3.193914049645316,1.4116492564331997,1.4884823513044847,0.6902530516863499,11.001976107085015,1.2150922908825974,0.5036101551853348,898.8823011408934,2.3265948246871155,7.764187574733893,0.9078961186825509,5.571504883482259,11.0,4.0,11.0,4.0,4.0,9.0,5.0,5.0,3.0,26.0,4.0,2547.0,8.0,22.0,4.0,19.0,1.1504884716166475,1.307610271194054,2.131739820308786,0.7547017818511932,0.8577502279474127,0.5692493150206415,1.3577694360984016,1.0041172917869332,3.0021502128022894,-0.40773524440205694,1.7037074102385281,0.36102961774325276,-0.12832477290275765,1.093127147866296,0.5950318662348368,3.537616414143108,0.31620868453708767,-29.0,3.2083333333333335,0.9583333333333334,1.875,1.2916666666666667,1.2083333333333333,2.875,1.0833333333333333,1.2916666666666667,0.2916666666666667,0.7916666666666666,0.4166666666666667,1200.0,2.25,7.25,0.2916666666666667,6.541666666666667,15.0,180.0,31.0,3.0,0.0,54.0,41
7,19,20,-1,http://www.nba.com/games/20140331/MILDET/gameinfo.html,2014-03-31,26,0.363286894943609,66.0,11.0,36.0,39.0,29.0,78.0,69.0,23.0,32.0,3.0,12.0,28800.0,55.0,176.0,3.0,136.0,2.817527557711111,0.7575263387144726,2.192294196989502,1.4764823060233399,1.6811168448843308,3.1105280283875625,1.8831234282844675,2.303175065993765,0.4314554973040048,9.931767214348108,0.646886032050112,0.49613893835683387,780.6364976981678,2.422014419063984,8.076175789605832,0.43145549730400484,5.4207578238301135,10.0,3.0,8.0,4.0,6.0,11.0,9.0,11.0,2.0,27.0,2.0,2357.0,8.0,32.0,2.0,20.0,1.0371812739533304,2.075685000800875,1.9324758983721344,0.40388582565237396,1.71927983311163,1.222823052205458,3.4893797486587705,3.291003142759344,3.9650527397209125,0.8662513065756309,1.1139338300603407,0.5038911092686594,-0.14219758428212304,0.9704778757049155,1.4295020561611098,3.9650527397209125,1.217976569976598,-19.0,2.5384615384615383,0.4230769230769231,1.3846153846153846,1.5,1.1153846153846154,2.6538461538461537,0.8846153846153846,1.2307692307692308,0.11538461538461539,0.46153846153846156,0.38461538461538464,1107.6923076923076,2.1153846153846154,6.769230769230769,0.11538461538461539,5.230769230769231,17.0,204.0,31.0,3.0,0.0,54.0,46
8,21,22,-1,http://www.nba.com/games/20140331/PHIATL/gameinfo.html,2014-03-31,24,0.7965669539720664,100.0,37.0,56.0,46.0,24.0,78.0,85.0,43.0,57.0,10.0,10.0,28799.0,63.0,227.0,10.0,185.0,4.7471448909196585,2.24807610054601,3.684478879758251,1.6323649667324351,1.0926326710501357,3.5839385296926323,2.924958908324118,3.6002136688727884,0.7524319545007682,8.708616422830895,0.6373020054525531,0.49613893835683387,913.3987493885764,2.75931987160716,9.408752063085485,0.7524319545007683,7.179565017893066,16.0,8.0,13.0,5.0,3.0,12.0,11.0,14.0,3.0,23.0,2.0,2620.0,10.0,28.0,3.0,21.0,1.314078543748153,1.757024104095002,1.9001384385903322,0.2833135610386619,0.7607182075303053,0.9085029382888674,2.1683670307901752,2.1487020109477033,2.2571736288688653,0.9333776888751634,1.4740169203247189,0.5038911092686594,0.015505877004439467,1.2157771773374584,0.6820188410198,2.2571736288688653,0.684390324465169,-15.0,3.8461538461538463,1.4230769230769231,2.1538461538461537,1.7692307692307692,0.9230769230769231,3.269230769230769,1.6538461538461537,2.1923076923076925,0.38461538461538464,0.38461538461538464,0.38461538461538464,1107.6538461538462,2.423076923076923,8.73076923076923,0.38461538461538464,7.115384615384615,19.0,230.0,31.0,3.0,0.0,54.0,51
9,23,24,-1,http://www.nba.com/games/20140331/WASCHA/gameinfo.html,2014-03-31,26,0.7622451695620261,89.0,19.0,50.0,44.0,36.0,72.0,72.0,36.0,50.0,6.0,21.0,28800.0,70.0,198.0,6.0,161.0,3.7239432894699678,1.1787674722451364,2.30154327555998,1.4645571126562063,1.414213562373095,2.7026556987687047,2.3405684928164816,3.174855925066134,0.6079187588743288,10.05203851270326,1.1539158284426274,0.5036101551853348,678.7556389388632,2.842483094923791,7.995922874108755,0.8469895538599198,4.831771361804449,17.0,5.0,9.0,5.0,5.0,9.0,9.0,13.0,2.0,23.0,4.0,2156.0,12.0,28.0,3.0,16.0,2.1957036758538506,2.1774189379602347,1.2664596062783096,0.4949043765873747,0.9055438620728908,0.937029283316144,1.8643489293429985,2.069105901151705,2.3750710868886955,0.7170011126177035,1.3746850791760565,0.36102961774325276,-0.3778387644017799,1.8390241390822815,1.116214443449088,3.2199602874013484,0.2781173818256453,-16.0,3.7083333333333335,0.7916666666666666,2.0833333333333335,1.8333333333333333,1.5,3.0,1.5,2.0833333333333335,0.25,0.875,0.4166666666666667,1200.0,2.9166666666666665,8.25,0.25,6.708333333333333,21.0,256.0,31.0,3.0,0.0,54.0,56
10,1,2,1,http://www.nba.com/games/20140401/PORLAL/gameinfo.html?ls=slt,2014-04-01,26,0.017099174478649726,85.0,24.0,43.0,36.0,24.0,78.0,72.0,38.0,47.0,8.0,12.0,28801.0,61.0,194.0,8.0,157.0,3.37707201353708,1.2624761993186857,2.7559725353102884,1.2985198674467195,1.2937720641002237,2.5970397348934386,2.249102385055322,2.5925929995929677,0.5491251783869153,10.73312629199899,0.6468860320501119,0.49613893835683387,811.2285772921123,2.4810047592426367,7.066715045794724,0.5491251783869153,6.049666233641451,11.0,4.0,10.0,5.0,5.0,8.0,9.0,10.0,2.0,18.0,2.0,2403.0,9.0,21.0,2.0,22.0,1.0173468518805726,1.1889057803824492,2.1555556674940815,0.8684789925431355,1.954357121489794,0.6012952248129354,2.1571190092337567,1.8255433160705845,1.6445452877294522,-0.7014886866913402,1.1139338300603405,0.5038911092686594,-0.18638255585999583,1.2204704527346013,0.5676425059370912,1.6445452877294522,1.1843650483675185,-24.0,3.269230769230769,0.9230769230769231,1.6538461538461537,1.3846153846153846,0.9230769230769231,2.769230769230769,1.4615384615384615,1.8076923076923077,0.3076923076923077,0.46153846153846156,0.38461538461538464,1107.7307692307693,2.3461538461538463,7.461538461538462,0.3076923076923077,6.038461538461538,23.0,280.0,31.0,3.0,0.0,54.0,13
