PlayerId,PlayerName,nb_rows_in_Actions,random_value,SUM(Actions.TotalRebounds),SUM(Actions.OffensiveRebounds),SUM(Actions.Assists),SUM(Actions.PersonalFouls),SUM(Actions.Turnovers),SUM(Actions.3PointsMade),SUM(Actions.FieldGoalsMade),SUM(Actions.FreeThrowsMade),SUM(Actions.FreeThrowAttempts),SUM(Actions.BlocksAgainst),SUM(Actions.PlusMinus),SUM(Actions.Steals),SUM(Actions.Starter),SUM(Actions.Minutes),SUM(Actions.DefensiveRebounds),SUM(Actions.Points),SUM(Actions.BlockedShots),SUM(Actions.FieldGoalAttempts),STD(Actions.TotalRebounds),STD(Actions.OffensiveRebounds),STD(Actions.Assists),STD(Actions.PersonalFouls),STD(Actions.Turnovers),STD(Actions.3PointsMade),STD(Actions.FieldGoalsMade),STD(Actions.FreeThrowsMade),STD(Actions.FreeThrowAttempts),STD(Actions.BlocksAgainst),STD(Actions.PlusMinus),STD(Actions.Steals),STD(Actions.Starter),STD(Actions.Minutes),STD(Actions.DefensiveRebounds),STD(Actions.Points),STD(Actions.BlockedShots),STD(Actions.FieldGoalAttempts),MAX(Actions.TotalRebounds),MAX(Actions.OffensiveRebounds),MAX(Actions.Assists),MAX(Actions.PersonalFouls),MAX(Actions.Turnovers),MAX(Actions.FieldGoalsMade),MAX(Actions.FreeThrowsMade),MAX(Actions.FreeThrowAttempts),MAX(Actions.BlocksAgainst),MAX(Actions.PlusMinus),MAX(Actions.Steals),MAX(Actions.Starter),MAX(Actions.Minutes),MAX(Actions.DefensiveRebounds),MAX(Actions.Points),MAX(Actions.BlockedShots),MAX(Actions.FieldGoalAttempts),SKEW(Actions.TotalRebounds),SKEW(Actions.OffensiveRebounds),SKEW(Actions.Assists),SKEW(Actions.PersonalFouls),SKEW(Actions.Turnovers),SKEW(Actions.FieldGoalsMade),SKEW(Actions.FreeThrowsMade),SKEW(Actions.FreeThrowAttempts),SKEW(Actions.BlocksAgainst),SKEW(Actions.PlusMinus),SKEW(Actions.Steals),SKEW(Actions.Starter),SKEW(Actions.Minutes),SKEW(Actions.DefensiveRebounds),SKEW(Actions.Points),SKEW(Actions.BlockedShots),SKEW(Actions.FieldGoalAttempts),MIN(Actions.TotalRebounds),MIN(Actions.OffensiveRebounds),MIN(Actions.Assists),MIN(Actions.PersonalFouls),MIN(Actions.Turnovers),MIN(Actions.FieldGoalsMade),MIN(Actions.FreeThrowsMade),MIN(Actions.FreeThrowAttempts),MIN(Actions.BlocksAgainst),MIN(Actions.PlusMinus),MIN(Actions.Steals),MIN(Actions.Starter),MIN(Actions.Minutes),MIN(Actions.DefensiveRebounds),MIN(Actions.Points),MIN(Actions.BlockedShots),MIN(Actions.FieldGoalAttempts),MEAN(Actions.TotalRebounds),MEAN(Actions.OffensiveRebounds),MEAN(Actions.Assists),MEAN(Actions.PersonalFouls),MEAN(Actions.Turnovers),MEAN(Actions.FieldGoalsMade),MEAN(Actions.FreeThrowsMade),MEAN(Actions.FreeThrowAttempts),MEAN(Actions.BlocksAgainst),MEAN(Actions.PlusMinus),MEAN(Actions.Steals),MEAN(Actions.Starter),MEAN(Actions.Minutes),MEAN(Actions.DefensiveRebounds),MEAN(Actions.Points),MEAN(Actions.BlockedShots),MEAN(Actions.FieldGoalAttempts),MODE(Actions.GameId),MODE(Actions.TeamId),add_numerical
1,Nicolas Batum,1,0.3909501798305054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
2,LaMarcus Aldridge,1,0.5511714566177154,5.0,2.0,7.0,2.0,1.0,3.0,6.0,0.0,0.0,0.0,18.0,2.0,1.0,2134.0,3.0,16.0,0.0,13.0,,,,,,,,,,,,,,,,,,,5.0,2.0,7.0,2.0,1.0,6.0,0.0,0.0,0.0,18.0,2.0,1.0,2134.0,3.0,16.0,0.0,13.0,,,,,,,,,,,,,,,,,,5.0,2.0,7.0,2.0,1.0,6.0,0.0,0.0,0.0,18.0,2.0,1.0,2134.0,3.0,16.0,0.0,13.0,5.0,2.0,7.0,2.0,1.0,6.0,0.0,0.0,0.0,18.0,2.0,1.0,2134.0,3.0,16.0,0.0,13.0,10.0,1.0,2
3,Robin Lopez,1,0.7311474523350335,15.0,1.0,6.0,2.0,2.0,3.0,12.0,7.0,8.0,1.0,27.0,1.0,1.0,1952.0,14.0,31.0,2.0,20.0,,,,,,,,,,,,,,,,,,,15.0,1.0,6.0,2.0,2.0,12.0,7.0,8.0,1.0,27.0,1.0,1.0,1952.0,14.0,31.0,2.0,20.0,,,,,,,,,,,,,,,,,,15.0,1.0,6.0,2.0,2.0,12.0,7.0,8.0,1.0,27.0,1.0,1.0,1952.0,14.0,31.0,2.0,20.0,15.0,1.0,6.0,2.0,2.0,12.0,7.0,8.0,1.0,27.0,1.0,1.0,1952.0,14.0,31.0,2.0,20.0,10.0,1.0,3
4,Wesley Matthews,1,0.3403009364838543,10.0,3.0,1.0,2.0,0.0,3.0,4.0,2.0,2.0,0.0,21.0,0.0,1.0,2043.0,7.0,10.0,2.0,5.0,,,,,,,,,,,,,,,,,,,10.0,3.0,1.0,2.0,0.0,4.0,2.0,2.0,0.0,21.0,0.0,1.0,2043.0,7.0,10.0,2.0,5.0,,,,,,,,,,,,,,,,,,10.0,3.0,1.0,2.0,0.0,4.0,2.0,2.0,0.0,21.0,0.0,1.0,2043.0,7.0,10.0,2.0,5.0,10.0,3.0,1.0,2.0,0.0,4.0,2.0,2.0,0.0,21.0,0.0,1.0,2043.0,7.0,10.0,2.0,5.0,10.0,1.0,4
5,Damian Lillard,1,0.5398438465510695,4.0,0.0,6.0,1.0,1.0,3.0,4.0,0.0,0.0,0.0,17.0,0.0,1.0,1952.0,4.0,10.0,1.0,12.0,,,,,,,,,,,,,,,,,,,4.0,0.0,6.0,1.0,1.0,4.0,0.0,0.0,0.0,17.0,0.0,1.0,1952.0,4.0,10.0,1.0,12.0,,,,,,,,,,,,,,,,,,4.0,0.0,6.0,1.0,1.0,4.0,0.0,0.0,0.0,17.0,0.0,1.0,1952.0,4.0,10.0,1.0,12.0,4.0,0.0,6.0,1.0,1.0,4.0,0.0,0.0,0.0,17.0,0.0,1.0,1952.0,4.0,10.0,1.0,12.0,10.0,1.0,5
6,Thomas Robinson,1,0.532841748903625,2.0,0.0,8.0,3.0,2.0,3.0,10.0,9.0,9.0,3.0,24.0,3.0,1.0,2130.0,2.0,34.0,0.0,22.0,,,,,,,,,,,,,,,,,,,2.0,0.0,8.0,3.0,2.0,10.0,9.0,9.0,3.0,24.0,3.0,1.0,2130.0,2.0,34.0,0.0,22.0,,,,,,,,,,,,,,,,,,2.0,0.0,8.0,3.0,2.0,10.0,9.0,9.0,3.0,24.0,3.0,1.0,2130.0,2.0,34.0,0.0,22.0,2.0,0.0,8.0,3.0,2.0,10.0,9.0,9.0,3.0,24.0,3.0,1.0,2130.0,2.0,34.0,0.0,22.0,10.0,1.0,6
7,Maurice Williams,1,0.820841462211599,6.0,3.0,0.0,2.0,1.0,3.0,3.0,1.0,2.0,3.0,-13.0,3.0,0.0,1077.0,3.0,7.0,0.0,7.0,,,,,,,,,,,,,,,,,,,6.0,3.0,0.0,2.0,1.0,3.0,1.0,2.0,3.0,-13.0,3.0,0.0,1077.0,3.0,7.0,0.0,7.0,,,,,,,,,,,,,,,,,,6.0,3.0,0.0,2.0,1.0,3.0,1.0,2.0,3.0,-13.0,3.0,0.0,1077.0,3.0,7.0,0.0,7.0,6.0,3.0,0.0,2.0,1.0,3.0,1.0,2.0,3.0,-13.0,3.0,0.0,1077.0,3.0,7.0,0.0,7.0,10.0,1.0,7
8,Will Barton,1,0.6360359493121508,1.0,0.0,3.0,4.0,0.0,3.0,3.0,0.0,0.0,1.0,2.0,1.0,0.0,1490.0,1.0,8.0,0.0,11.0,,,,,,,,,,,,,,,,,,,1.0,0.0,3.0,4.0,0.0,3.0,0.0,0.0,1.0,2.0,1.0,0.0,1490.0,1.0,8.0,0.0,11.0,,,,,,,,,,,,,,,,,,1.0,0.0,3.0,4.0,0.0,3.0,0.0,0.0,1.0,2.0,1.0,0.0,1490.0,1.0,8.0,0.0,11.0,1.0,0.0,3.0,4.0,0.0,3.0,0.0,0.0,1.0,2.0,1.0,0.0,1490.0,1.0,8.0,0.0,11.0,10.0,1.0,8
9,Dorell Wright,1,0.22752353104880474,5.0,2.0,1.0,1.0,2.0,3.0,4.0,0.0,0.0,1.0,-13.0,0.0,0.0,676.0,3.0,8.0,0.0,7.0,,,,,,,,,,,,,,,,,,,5.0,2.0,1.0,1.0,2.0,4.0,0.0,0.0,1.0,-13.0,0.0,0.0,676.0,3.0,8.0,0.0,7.0,,,,,,,,,,,,,,,,,,5.0,2.0,1.0,1.0,2.0,4.0,0.0,0.0,1.0,-13.0,0.0,0.0,676.0,3.0,8.0,0.0,7.0,5.0,2.0,1.0,1.0,2.0,4.0,0.0,0.0,1.0,-13.0,0.0,0.0,676.0,3.0,8.0,0.0,7.0,10.0,1.0,9
10,Earl Watson,1,0.13926418431601495,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,-5.0,0.0,0.0,559.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.0,0.0,0.0,559.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.0,0.0,0.0,559.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.0,0.0,0.0,559.0,1.0,0.0,0.0,0.0,10.0,1.0,10
