name1,name2
ali1,fatma
ali1,ismail
ali1,mehmet1
ali1,neriman
ali1,nesrin
ali2,dilber
ali2,dilek
ali2,firdevs
ali2,halis
ali2,kubra
ali2,mediha2
ali2,mete
ali2,murat1
ali2,murat2
ali2,sadullah
ali2,sevcan
ali2,yildirim
ali2,yusuf2
alp,anil
alp,batuhan
alp,cagdas
alp,erdem
alp,esra
alp,melis
alp,nida
alp,secil
alp,yavuz
alp,yusuf3
alp,zeynep
anil,alp
anil,batuhan
anil,cagdas
anil,erdem
anil,esra
anil,melis
anil,nida
anil,secil
anil,yavuz
anil,yusuf3
anil,zeynep
batuhan,alp
batuhan,anil
batuhan,cagdas
batuhan,erdem
batuhan,esra
batuhan,melis
batuhan,nida
batuhan,secil
batuhan,yavuz
batuhan,yusuf3
batuhan,zeynep
cagdas,alp
cagdas,anil
cagdas,batuhan
cagdas,erdem
cagdas,esra
cagdas,melis
cagdas,nida
cagdas,secil
cagdas,yavuz
cagdas,yusuf3
cagdas,zeynep
dilber,ali2
dilber,dilek
dilber,firdevs
dilber,halis
dilber,kubra
dilber,mediha2
dilber,mete
dilber,murat1
dilber,murat2
dilber,sadullah
dilber,sevcan
dilber,yildirim
dilber,yusuf2
dilek,ali2
dilek,dilber
dilek,firdevs
dilek,halis
dilek,kubra
dilek,mediha2
dilek,mete
dilek,murat1
dilek,murat2
dilek,sadullah
dilek,sevcan
dilek,yildirim
dilek,yusuf2
erdem,alp
erdem,anil
erdem,batuhan
erdem,cagdas
erdem,esra
erdem,melis
erdem,nida
erdem,secil
erdem,yavuz
erdem,yusuf3
erdem,zeynep
esra,alp
esra,anil
esra,batuhan
esra,cagdas
esra,erdem
esra,melis
esra,nida
esra,secil
esra,yavuz
esra,yusuf3
esra,zeynep
fatma,ali1
fatma,ismail
fatma,mehmet1
fatma,neriman
fatma,nesrin
firdevs,ali2
firdevs,dilber
firdevs,dilek
firdevs,halis
firdevs,kubra
firdevs,mediha2
firdevs,mete
firdevs,murat1
firdevs,murat2
firdevs,sadullah
firdevs,sevcan
firdevs,yildirim
firdevs,yusuf2
halis,ali2
halis,dilber
halis,dilek
halis,firdevs
halis,kubra
halis,mediha2
halis,mete
halis,murat1
halis,murat2
halis,sadullah
halis,sevcan
halis,yildirim
halis,yusuf2
ismail,ali1
ismail,fatma
ismail,mehmet1
ismail,neriman
ismail,nesrin
kubra,ali2
kubra,dilber
kubra,dilek
kubra,firdevs
kubra,halis
kubra,mediha2
kubra,mete
kubra,murat1
kubra,murat2
kubra,sadullah
kubra,sevcan
kubra,yildirim
kubra,yusuf2
mediha2,ali2
mediha2,dilber
mediha2,dilek
mediha2,firdevs
mediha2,halis
mediha2,kubra
mediha2,mete
mediha2,murat1
mediha2,murat2
mediha2,sadullah
mediha2,sevcan
mediha2,yildirim
mediha2,yusuf2
mehmet1,ali1
mehmet1,fatma
mehmet1,ismail
mehmet1,neriman
mehmet1,nesrin
melis,alp
melis,anil
melis,batuhan
melis,cagdas
melis,erdem
melis,esra
melis,nida
melis,secil
melis,yavuz
melis,yusuf3
melis,zeynep
mete,ali2
mete,dilber
mete,dilek
mete,firdevs
mete,halis
mete,kubra
mete,mediha2
mete,murat1
mete,murat2
mete,sadullah
mete,sevcan
mete,yildirim
mete,yusuf2
murat1,ali2
murat1,dilber
murat1,dilek
murat1,firdevs
murat1,halis
murat1,kubra
murat1,mediha2
murat1,mete
murat1,murat2
murat1,sadullah
murat1,sevcan
murat1,yildirim
murat1,yusuf2
murat2,ali2
murat2,dilber
murat2,dilek
murat2,firdevs
murat2,halis
murat2,kubra
murat2,mediha2
murat2,mete
murat2,murat1
murat2,sadullah
murat2,sevcan
murat2,yildirim
murat2,yusuf2
neriman,ali1
neriman,fatma
neriman,ismail
neriman,mehmet1
neriman,nesrin
nesrin,ali1
nesrin,fatma
nesrin,ismail
nesrin,mehmet1
nesrin,neriman
nida,alp
nida,anil
nida,batuhan
nida,cagdas
nida,erdem
nida,esra
nida,melis
nida,secil
nida,yavuz
nida,yusuf3
nida,zeynep
sadullah,ali2
sadullah,dilber
sadullah,dilek
sadullah,firdevs
sadullah,halis
sadullah,kubra
sadullah,mediha2
sadullah,mete
sadullah,murat1
sadullah,murat2
sadullah,sevcan
sadullah,yildirim
sadullah,yusuf2
secil,alp
secil,anil
secil,batuhan
secil,cagdas
secil,erdem
secil,esra
secil,melis
secil,nida
secil,yavuz
secil,yusuf3
secil,zeynep
sevcan,ali2
sevcan,dilber
sevcan,dilek
sevcan,firdevs
sevcan,halis
sevcan,kubra
sevcan,mediha2
sevcan,mete
sevcan,murat1
sevcan,murat2
sevcan,sadullah
sevcan,yildirim
sevcan,yusuf2
yavuz,alp
yavuz,anil
yavuz,batuhan
yavuz,cagdas
yavuz,erdem
yavuz,esra
yavuz,melis
yavuz,nida
yavuz,secil
yavuz,yusuf3
yavuz,zeynep
yildirim,ali2
yildirim,dilber
yildirim,dilek
yildirim,firdevs
yildirim,halis
yildirim,kubra
yildirim,mediha2
yildirim,mete
yildirim,murat1
yildirim,murat2
yildirim,sadullah
yildirim,sevcan
yildirim,yusuf2
yusuf2,ali2
yusuf2,dilber
yusuf2,dilek
yusuf2,firdevs
yusuf2,halis
yusuf2,kubra
yusuf2,mediha2
yusuf2,mete
yusuf2,murat1
yusuf2,murat2
yusuf2,sadullah
yusuf2,sevcan
yusuf2,yildirim
yusuf3,alp
yusuf3,anil
yusuf3,batuhan
yusuf3,cagdas
yusuf3,erdem
yusuf3,esra
yusuf3,melis
yusuf3,nida
yusuf3,secil
yusuf3,yavuz
yusuf3,zeynep
zeynep,alp
zeynep,anil
zeynep,batuhan
zeynep,cagdas
zeynep,erdem
zeynep,esra
zeynep,melis
zeynep,nida
zeynep,secil
zeynep,yavuz
zeynep,yusuf3
