name1,name2,target
ali1,ali2,0
ali1,alp,0
ali1,anil,0
ali1,ayse,0
ali1,ayten,0
ali1,batuhan,0
ali1,bedriye,0
ali1,cagdas,0
ali1,cemile,0
ali1,dilber,0
ali1,dilek,0
ali1,erdem,0
ali1,esra,0
ali1,fatma,1
ali1,firdevs,0
ali1,gunay,0
ali1,halis,0
ali1,huseyin,0
ali1,ismail,1
ali1,kubra,0
ali1,levent,0
ali1,mediha1,0
ali1,mediha2,0
ali1,mehmet1,1
ali1,mehmet2,0
ali1,melis,0
ali1,mete,0
ali1,muhammer,0
ali1,muhittin,0
ali1,murat1,0
ali1,murat2,0
ali1,nalan,0
ali1,neriman,1
ali1,nesrin,1
ali1,nida,0
ali1,recep,0
ali1,sadullah,0
ali1,secil,0
ali1,sevcan,0
ali1,sibel,0
ali1,yavuz,0
ali1,yildirim,0
ali1,yusuf1,0
ali1,yusuf2,0
ali1,yusuf3,0
ali1,zeynep,0
ali2,alp,0
ali2,anil,0
ali2,ayse,0
ali2,ayten,0
ali2,batuhan,0
ali2,bedriye,0
ali2,cagdas,0
ali2,cemile,0
ali2,dilber,1
ali2,dilek,1
ali2,erdem,0
ali2,esra,0
ali2,fatma,0
ali2,firdevs,1
ali2,gunay,0
ali2,halis,1
ali2,huseyin,0
ali2,ismail,0
ali2,kubra,1
ali2,levent,0
ali2,mediha1,0
ali2,mediha2,1
ali2,mehmet1,0
ali2,mehmet2,0
ali2,melis,0
ali2,mete,1
ali2,muhammer,0
ali2,muhittin,0
ali2,murat1,1
ali2,murat2,1
ali2,nalan,0
ali2,neriman,0
ali2,nesrin,0
ali2,nida,0
ali2,recep,0
ali2,sadullah,1
ali2,secil,0
ali2,sevcan,1
ali2,sibel,0
ali2,yavuz,0
ali2,yildirim,1
ali2,yusuf1,0
ali2,yusuf2,1
ali2,yusuf3,0
ali2,zeynep,0
alp,anil,1
alp,ayse,0
alp,ayten,0
alp,batuhan,1
alp,bedriye,0
alp,cagdas,1
alp,cemile,0
alp,dilber,0
alp,dilek,0
