stor_id,ord_num,ord_date,qty,payterms,title_id
6380,6871,1994-09-14,5,Net 60,BU1032
6380,722a,1994-09-13,3,Net 60,PS2091
7066,A2976,1993-05-24,50,Net 30,PC8888
7066,QA7442.3,1994-09-13,75,ON invoice,PS2091
7067,D4482,1994-09-14,10,Net 60,PS2091
7067,P2121,1992-06-15,40,Net 30,TC3218
7067,P2121,1992-06-15,20,Net 30,TC4203
7067,P2121,1992-06-15,20,Net 30,TC7777
7131,N914008,1994-09-14,20,Net 30,PS2091
7131,N914014,1994-09-14,25,Net 30,MC3021
7131,P3087a,1993-05-29,20,Net 60,PS1372
7131,P3087a,1993-05-29,25,Net 60,PS2106
7131,P3087a,1993-05-29,15,Net 60,PS3333
7131,P3087a,1993-05-29,25,Net 60,PS7777
7896,QQ2299,1993-10-28,15,Net 60,BU7832
7896,TQ456,1993-12-12,10,Net 60,MC2222
7896,X999,1993-02-21,35,ON invoice,BU2075
8042,423LL922,1994-09-14,15,ON invoice,MC3021
8042,423LL930,1994-09-14,10,ON invoice,BU1032
8042,P723,1993-03-11,25,Net 30,BU1111
8042,QA879.1,1993-05-22,30,Net 30,PC1035
